epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2758.92,0.79922,0.38387,0.78641,0.88722,0.75822,0.80231,0.56006,0.78401,0.37755,0.79538,0.000742625,0.000742625,0.000742625
43,2819.34,0.83334,0.39496,0.78437,0.83929,0.69681,0.7681,0.49509,0.85943,0.41651,0.79987,0.00073025,0.00073025,0.00073025
44,2912.55,0.83487,0.39564,0.78578,0.86115,0.71322,0.80582,0.55197,0.80006,0.39774,0.79424,0.000717875,0.000717875,0.000717875
45,2970.06,0.8029,0.38498,0.78581,0.89927,0.74146,0.81296,0.55479,0.80356,0.38432,0.79454,0.0007055,0.0007055,0.0007055
46,3042.89,0.79577,0.38062,0.78149,0.80582,0.74763,0.77429,0.54661,0.80508,0.38945,0.79357,0.000693125,0.000693125,0.000693125
47,3115.27,0.81727,0.3865,0.78538,0.84735,0.73643,0.80256,0.54676,0.85766,0.38892,0.79823,0.00068075,0.00068075,0.00068075
48,3177.63,0.86281,0.39461,0.78617,0.8739,0.75951,0.82337,0.59081,0.7902,0.37569,0.79443,0.000668375,0.000668375,0.000668375
49,3238.37,0.85611,0.39445,0.78527,0.85169,0.75804,0.81099,0.5698,0.79578,0.38301,0.7955,0.000656,0.000656,0.000656
50,3307.13,0.77505,0.36951,0.78556,0.82918,0.74217,0.81105,0.5696,0.82063,0.40529,0.79599,0.000643625,0.000643625,0.000643625
51,3380,0.80124,0.38274,0.7848,0.85344,0.73766,0.80675,0.55348,0.79439,0.37766,0.79479,0.00063125,0.00063125,0.00063125
52,3441.85,0.78757,0.3715,0.78378,0.93398,0.73651,0.83037,0.56914,0.7595,0.35573,0.79258,0.000618875,0.000618875,0.000618875
53,3504.64,0.75381,0.35684,0.78088,0.90426,0.7208,0.81733,0.56635,0.78832,0.38597,0.79335,0.0006065,0.0006065,0.0006065
54,3602.83,0.78982,0.37091,0.78267,0.90333,0.72294,0.81594,0.5582,0.77627,0.36952,0.79437,0.000594125,0.000594125,0.000594125
55,3662.84,0.76571,0.36457,0.78155,0.88788,0.74233,0.83267,0.55908,0.8128,0.38494,0.79658,0.00058175,0.00058175,0.00058175
56,3732.98,0.81387,0.38221,0.78447,0.88658,0.7524,0.82489,0.56701,0.79403,0.38367,0.79231,0.000569375,0.000569375,0.000569375
57,3801.69,0.77422,0.36628,0.78291,0.89166,0.74718,0.80196,0.57625,0.75783,0.36086,0.79286,0.000557,0.000557,0.000557
58,3867.88,0.7862,0.36387,0.78198,0.91169,0.73202,0.8014,0.54551,0.81364,0.39791,0.79461,0.000544625,0.000544625,0.000544625
59,3939.51,0.76139,0.35886,0.78067,0.89743,0.75953,0.82586,0.58044,0.76533,0.35691,0.79357,0.00053225,0.00053225,0.00053225
